"from","to","weight"
"Category:Statistical laws","Category:Nonlinear time series analysis",2
"Category:Statistics articles needing expert attention","Category:Computational statistics",9
"Category:Statistical inequalities","Category:Nonlinear time series analysis",1
"Category:Probability distributions with non-finite variance","Category:Statistical distance measures",1
"Category:Statistical outliers","Category:Social statistics",1
"Category:Statistical methods","Category:Probability interpretations",8
"Category:Comparison of assessments","Category:Statistical tests",27
"Category:Random matrices","Category:Probability stubs",35
"Category:Statistical principles","Category:Factor analysis",1
"Category:Quality control","Category:Non-parametric statistics",145
"Category:Multivariate discrete distributions","Category:Statistical charts and diagrams",4
"Category:Statistics","Category:Computational statistics",9
"Category:Statistical inference","Category:Computational statistics",35
"Category:Ethics and statistics","Category:Demography",5
"Category:Regression analysis","Category:Statistical theorems",64
"Category:Latin squares","Category:Summary statistics for contingency tables",3
"Category:Statisticians","Category:Generalized linear models",3
"Category:Cheminformatics","Category:Non-parametric statistics",21
"Category:Graphical models","Category:Cheminformatics",2
"Category:Loss functions","Category:Robust statistics",7
"Category:Factor analysis","Category:Data collection",1
"Category:Regression diagnostics","Category:Statistical deviation and dispersion",46
"Category:Detection theory","Category:Stochastic processes",1
"Category:Ethics and statistics","Category:Observational study",4
"Category:Sports records and statistics","Category:Statistical terminology",1
"Category:Statistics articles needing expert attention","Category:Simultaneous equation methods (econometrics)",2
"Category:Statistical programming languages","Category:Statistical forecasting",2
"Category:Sequential methods","Category:Optimal decisions",17
"Category:Probability","Category:Statistical natural language processing",1
"Category:Probability distributions","Category:Queueing theory",8
"Category:Stochastic processes","Category:Markov models",264
"Category:Information theory","Category:Continuous distributions",27
"Category:Summary statistics for contingency tables","Category:Resampling (statistics)",12
"Category:Probability","Category:Statistical terminology",37
"Category:Least squares","Category:Statistical approximations",1
"Category:Statistical distance measures","Category:Model selection",2
"Category:Model selection","Category:Economic data",2
"Category:History of statistics","Category:Geostatistics",12
"Category:Multivariate statistics","Category:Cheminformatics",11
"Category:Non-parametric statistics","Category:Demography",85
"Category:F-divergences","Category:Quality control",1
"Category:Detection theory","Category:Estimation of densities",2
"Category:Statistical tests","Category:Effect size",26
"Category:Climate and weather statistics","Category:Econometric models",1
"Category:Probability stubs","Category:Environmental statistics",1
"Category:Design of experiments","Category:Non-parametric statistics",871
"Category:Index numbers","Category:Summary statistics",15
"Category:Dimension reduction","Category:Design of experiments",19
"Category:Statistical approximations","Category:Meta-analysis",4
"Category:Econometrics","Category:Statistical inference",243
"Category:Summary statistics","Category:Spatial data analysis",18
"Category:Econometric models","Category:Statistical models",9
"Category:Information theory","Category:Quality control",1
"Category:Types of probability distributions","Category:Probability distributions",2158
"Category:Statistical classification","Category:Distributions with conjugate priors",7
"Category:Operations research","Category:Parametric statistics",26
"Category:Statistical approximations","Category:Spatial data analysis",2
"Category:Stochastic models","Category:Probability theory",6
"Category:Engineering statistics","Category:Pharmaceutical statistics",8
"Category:Statistical genetics","Category:Statistical intervals",1
"Category:Probability","Category:Martingale theory",4
"Category:History of statistics","Category:Least squares",13
"Category:Multivariate time series analysis","Category:Statistical data types",5
"Category:Probability theory","Category:Statistical outliers",4
"Category:Robust statistics","Category:Logic and statistics",17
"Category:Summary statistics for contingency tables","Category:Stochastic processes",6
"Category:Time series analysis","Category:Bioinformatics",42
"Category:Queueing theory","Category:Martingale theory",24
"Category:Tails of probability distributions","Category:Random matrices",7
"Category:Survival analysis","Category:Time series models",11
"Category:Random matrices","Category:Stochastic processes",3
"Category:Statistical randomness","Category:Risk analysis",4
"Category:Statistical paradoxes","Category:Logic and statistics",3
"Category:Summary statistics for categorical data","Category:Statistical methods",1
"Category:Model selection","Category:Distributions with conjugate priors",3
"Category:Detection theory","Category:Variance reduction",1
"Category:Observational study","Category:Statistical methods",42
"Category:Statistical tests","Category:Validity (statistics)",4
"Category:Clustering criteria","Category:Multiple comparisons",2
"Category:Statistical randomness","Category:Actuarial science",19
"Category:Statistical terminology","Category:Hypothesis testing",195
"Category:Summary statistics","Category:Index numbers",17
"Category:Statistical theorems","Category:Probability interpretations",8
"Category:Fields of application of statistics","Category:Statistical theory",111
"Category:Survey methodology","Category:Least squares",21
"Category:Statistical methods","Category:Model selection",21
"Category:Parametric statistics","Category:Inter-rater reliability",5
"Category:Regression variable selection","Category:Uncertainty of numbers",1
"Category:Probability theory","Category:Meta-analysis",8
"Category:Semi-parametric models","Category:Discrete distributions",1
"Category:Time series models","Category:Statistical inequalities",3
"Category:Summary statistics for contingency tables","Category:Computational statistics",6
"Category:Statistical distance measures","Category:F-divergences",18
"Category:Operations research","Category:Statistical terminology",97
"Category:Data analysis","Category:Social statistics",17
"Category:Bioinformatics","Category:Classification algorithms",12
"Category:Pharmaceutical statistics","Category:Regression analysis",23
"Category:Operations research","Category:Algebra of random variables",2
